date;settlement_price;market_id;market_strip;last_trading_date;instrument_slug;instrument_name;source;series_type;roll_rule
2024-08-23;694.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-08-26;707.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-08-27;698.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-08-28;689.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-08-29;694.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-08-30;685.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-02;682.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-03;669.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-04;664.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-05;666.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-06;658.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-09;655.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-10;647.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-11;642.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-12;661.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-13;657.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-16;655.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-17;661.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-18;662.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-19;669.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-20;668.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-23;666.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-24;673.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-25;673.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-09-26;663.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
